Date,Symbol,Qty,position,Buy/Sell,Entry Price,Exit Price,strategy_returns
2017-01-02T09:15:00+0530,Bank,25,1,Buy,18148.7,0,
2017-01-02T09:30:00+0530,Bank,25,0,Buy_Exit,0.0,18037.2,-2787.5
2017-01-02T09:45:00+0530,Bank,25,-1,Sell,18030.25,0,
2017-01-03T09:45:00+0530,Bank,25,0,Sell_exit,0.0,17953.362500000003,1922.1874999999272
2017-01-03T10:00:00+0530,Bank,25,1,Buy,18036.1625,0,0.0
2017-01-03T11:45:00+0530,Bank,25,0,Buy_Exit,0.0,18069.337499999998,829.3749999999818
2017-01-03T12:00:00+0530,Bank,25,-1,Sell,18076.75,0,0.0
2017-01-03T12:15:00+0530,Bank,25,0,Sell_exit,0.0,18088.7375,-299.6874999999818
2017-01-03T12:30:00+0530,Bank,25,1,Buy,18083.600000000002,0,0.0
2017-01-03T12:45:00+0530,Bank,25,0,Buy_Exit,0.0,18068.6875,-372.81250000005457
2017-01-03T13:00:00+0530,Bank,25,-1,Sell,18071.175000000003,0,0.0
2017-01-05T09:15:00+0530,Bank,25,0,Sell_exit,0.0,18008.1875,1574.6875000000728
2017-01-05T09:30:00+0530,Bank,25,1,Buy,18037.6375,0,0.0
2017-01-09T10:45:00+0530,Bank,25,0,Buy_Exit,0.0,18285.550000000003,6197.812500000055
2017-01-09T11:00:00+0530,Bank,25,-1,Sell,18290.4625,0,0.0
2017-01-09T11:15:00+0530,Bank,25,0,Sell_exit,0.0,18308.325,-446.5624999999818
2017-01-09T11:30:00+0530,Bank,25,1,Buy,18314.987500000003,0,0.0
2017-01-09T15:00:00+0530,Bank,25,0,Buy_Exit,0.0,18288.3,-667.187500000091
2017-01-09T15:15:00+0530,Bank,25,-1,Sell,18280.1875,0,0.0
2017-01-10T09:15:00+0530,Bank,25,0,Sell_exit,0.0,18371.100000000002,-2272.8125000000546
2017-01-10T09:30:00+0530,Bank,25,1,Buy,18337.3375,0,0.0
2017-01-12T10:00:00+0530,Bank,25,0,Buy_Exit,0.0,18836.3,12474.062499999945
2017-01-12T10:15:00+0530,Bank,25,-1,Sell,18837.425000000003,0,0.0
2017-01-12T11:00:00+0530,Bank,25,0,Sell_exit,0.0,18867.9375,-762.8124999999272
2017-01-12T11:15:00+0530,Bank,25,1,Buy,18876.925000000003,0,0.0
2017-01-12T11:45:00+0530,Bank,25,0,Buy_Exit,0.0,18851.6875,-630.9375000000728
2017-01-12T12:00:00+0530,Bank,25,-1,Sell,18859.375,0,0.0
2017-01-12T12:15:00+0530,Bank,25,0,Sell_exit,0.0,18866.825,-186.2500000000182
2017-01-12T12:30:00+0530,Bank,25,1,Buy,18868.612500000003,0,0.0
2017-01-12T14:15:00+0530,Bank,25,0,Buy_Exit,0.0,18856.0875,-313.1250000000364
2017-01-12T14:30:00+0530,Bank,25,-1,Sell,18863.324999999997,0,0.0
2017-01-12T14:45:00+0530,Bank,25,0,Sell_exit,0.0,18878.9375,-390.31250000007276
2017-01-12T15:00:00+0530,Bank,25,1,Buy,18881.2375,0,0.0
2017-01-13T09:30:00+0530,Bank,25,0,Buy_Exit,0.0,18851.775,-736.5624999999454
2017-01-13T09:45:00+0530,Bank,25,-1,Sell,18838.6875,0,0.0
2017-01-13T10:45:00+0530,Bank,25,0,Sell_exit,0.0,18844.0625,-134.375
2017-01-13T11:00:00+0530,Bank,25,1,Buy,18842.175,0,0.0
2017-01-17T10:15:00+0530,Bank,25,0,Buy_Exit,0.0,19152.975,7769.999999999982
2017-01-17T10:30:00+0530,Bank,25,-1,Sell,19110.8625,0,0.0
2017-01-17T13:00:00+0530,Bank,25,0,Sell_exit,0.0,19048.975,1547.1875000000182
2017-01-17T13:15:00+0530,Bank,25,1,Buy,19071.975,0,0.0
2017-01-18T12:00:00+0530,Bank,25,0,Buy_Exit,0.0,19215.875,3597.5000000000364
2017-01-18T12:15:00+0530,Bank,25,-1,Sell,19180.7625,0,0.0
2017-01-19T11:30:00+0530,Bank,25,0,Sell_exit,0.0,19119.0375,1543.1250000000546
