,date,lot_size,position,buy_sell,entry_price,exit_price
0,2023-06-15 09:15:00+05:30,25,1,Buy,43958.650390625,0
1,2023-06-15 11:30:00+05:30,25,0,Buy_exit,43789.3251953125,0
2,2023-06-15 11:45:00+05:30,25,-1,sell,43764.7119140625,0
3,2023-06-16 09:15:00+05:30,25,0,Sell_exit,43613.6005859375,0
4,2023-06-16 09:30:00+05:30,25,1,Buy,43674.92578125,0
5,2023-06-19 10:00:00+05:30,25,0,Buy_exit,43880.25,0
6,2023-06-19 10:15:00+05:30,25,-1,sell,43814.4755859375,0
7,2023-06-20 12:45:00+05:30,25,0,Sell_exit,43441.9248046875,0
8,2023-06-20 13:00:00+05:30,25,1,Buy,43511.2626953125,0
9,2023-06-21 10:30:00+05:30,25,0,Buy_exit,43801.25,0
10,2023-06-21 10:45:00+05:30,25,-1,sell,43799.4619140625,0
11,2023-06-21 12:45:00+05:30,25,0,Sell_exit,43837.1865234375,0
12,2023-06-21 13:00:00+05:30,25,1,Buy,43854.3515625,0
12,2023-06-21 13:00:00+05:30,25,1,Buy,43854.6875,0
13,2023-06-21 14:30:00+05:30,25,0,Buy_exit,43824.8515625,0
13,2023-06-21 14:30:00+05:30,25,0,Buy_exit,43827.75,0
14,2023-06-21 14:45:00+05:30,25,-1,sell,43819.3984375,0
14,2023-06-21 14:45:00+05:30,25,1,Buy,43839.525390625,0
