Date,Symbol,Qty,position,Buy/Sell,Entry Price,Exit Price,strategy_returns
25,Bank,25,1,Buy,40922.5375,0,
32,Bank,25,0,Buy_Exit,0.0,40844.524999999994,-1950.3125000001091
40,Bank,25,1,Buy,41017.337499999994,0,0.0
43,Bank,25,0,Buy_Exit,0.0,40939.350000000006,-1949.687499999709
54,Bank,25,1,Buy,41114.1375,0,0.0
61,Bank,25,0,Buy_Exit,0.0,41101.8875,-306.25
68,Bank,25,-1,Sell,40984.950000000004,0,
75,Bank,25,0,Sell_exit,0.0,41078.087499999994,-2328.4374999997453
95,Bank,25,-1,Sell,40811.5,0,0.0
100,Bank,25,0,Sell_exit,0.0,41165.35,-8846.249999999964
101,Bank,25,1,Buy,41194.8,0,0.0
116,Bank,25,0,Buy_Exit,0.0,41271.375,1914.3749999999272
151,Bank,25,1,Buy,41662.337499999994,0,0.0
157,Bank,25,0,Buy_Exit,0.0,41622.9375,-984.9999999998545
169,Bank,25,1,Buy,41832.1625,0,0.0
177,Bank,25,0,Buy_Exit,0.0,41993.1875,4025.6250000000364
178,Bank,25,-1,Sell,41877.525,0,0.0
179,Bank,25,0,Sell_exit,0.0,41999.25,-3043.1249999999636
200,Bank,25,1,Buy,42389.3375,0,0.0
217,Bank,25,0,Buy_Exit,0.0,42297.575000000004,-2294.0624999999272
218,Bank,25,-1,Sell,42200.65,0,0.0
